INPUT:text	OUTPUT:category	CONFIDENCE:category	
На суде он свою вину отрицал , факты у обвинения не сходились , о заказчиках и посредниках и речи в зале заседаний не было .	[5]	100.00%	
Чтобы Украину не взяли в НАТО и в Евросоюз ?	[1]	100.00%	
Все это было свежо и ярко , много ярче , чем в обычной жизни .	[3]	100.00%	
Японский центр в Нижнем Новгороде открылся в прошлом месяце .	[1]	100.00%	
Я довольно активно участвую в борьбе за военную реформу и переход к контрактной армии .	[2]	100.00%	
Бухгалтеры звонят в редакцию и просят выяснить позицию фискалов .	[2]	100.00%	
Он молодец , он этот ресурс накопил и использует .	[2]	100.00%	
Причем в этом случае торговцы заложат в стоимость и свои убытки за прошлый период .	[2]	100.00%	
Это была вторая поездка дяди и племянника в Дуплянку .	[1]	100.00%	
Тему астматиков громко обсуждали , в основном в кулуарах , еще на стыке веков .	[4]	100.00%	
Решение участвовать в выборах в Мосгордуму , а потом отказ от участия в них .	[2]	100.00%	
Впрочем , сегодня уже как в МИДе , так и в самом Кремле стараются не употреблять этот эзопов язык .	[4]	100.00%	
Он бы устранил , конечно , постепенно всех - и Маленкова , и Хрущёва .	[3]	100.00%	
Он видел и не такие лица - по выражению .	[1]	100.00%	
И сейчас архиважно - не дать себя вовлечь в демагогическую суету и пустопорожние словопрения .	[7]	100.00%	
Все эти обстоятельства , как и многие другие , наложили отпечаток на начавшиеся в 1991 году реформы , призванные вторично возродить в России капитализм .	[5]	100.00%	
"В результате в "" Возвращении короля "" кадров с компьютерными эффектами оказалось 1490 - больше , чем в первом и втором фильмах вместе взятых ."	[5]	100.00%	
Упор в стратегии итальянских коммунистов делался на демократическое общество западных стран через активную работу в массах и общественных организациях и расширение парламентской группы в законодательном органе власти , т. е. проводилась широкая политика союзов .	[7]	100.00%	
К середине 1942 года англичане , несмотря на ряд неудач , полностью нарушают морское сообщение между Италией и итальянскими войсками в Ливии и Египте .	[4]	100.00%	
Ничего нового не открыл и именем своим не назвал .	[1]	100.00%	
Предчувствие им подсказывало , что и это не предел .	[1]	100.00%	
Однако командование немецких ВМС и сухопутных сил , ссылаясь на мощь британского флота и отсутствие у вермахта опыта десантных операций , требует от ВВС вначале обеспечить господство в воздухе .	[6]	100.00%	
По дорогам тянулись обозы , грузно сворачивая с дороги к переездам , и с бешено несущегося поезда казалось , что возы стоят не двигаясь , а лошади подымают и опускают ноги на одном месте .	[7]	100.00%	
Больше мы золота в лыжных дисциплинах не взяли и боролись лишь за полудрагоценные металлы .	[3]	100.00%	
"Если суд действительно независим , судебная система и сама прекрасно справляется с защитой прав и интересов , в том числе бизнеса , и необходимости в фигуре "" уполномоченного по защите прав предпринимателей "" нет ."	[7]	100.00%	
Совершенно очищенные листы погружают на час времени в расплавленное сало ; потом на 11/2 часа _ в расплавленное ( не совершенно чистое ) олово .	[7]	100.00%	
Экономист Мовчан всерьез считает , что спасти еврозону в нынешнем виде не получится , и лет через пять там останутся сильные экономики - такие как Германия и страны Бенилюкса .	[5]	100.00%	
Тактика - это соглашение о перемирии , несомненный позитив которого в приостановке маховика убийства и уничтожения элементарных условий выживания людей в зоне боевых действий .	[6]	100.00%	
Уже сейчас поступает обильная информация о природных ресурсах и окружающей среде с бортовых многоспектральных устройств и фотокамер , устанавливаемых на пилотируемых и автоматических аппаратах .	[6]	100.00%	
Если победят те силы , которые говорят , что мы в кольце врагов , что Запад постоянно строит нам козни , и даже ближайшие соседи превращаются в недругов , то выбран будет сценарий мобилизации .	[7]	100.00%	
Разрыв этот в последнее время не только не сократился , но и продолжает углубляться .	[3]	100.00%	
Сейчас единства в этом вопросе в России не существует .	[1]	100.00%	
"Не вдаваясь в детали критики советником политики ЦБ ( это отдельная тема ) , приведу мнение специалиста по макроэкономике Константина Сонина : "" Познания Глазьева в области экономической науки и реальной экономики очень малы ."	[7]	100.00%	
Особого впечатления он на меня не произвел , но я захотела и другого кино .	[3]	100.00%	
Об этом и думал , засыпая , маленький Павлов , и сны были у него деловые , практические и потому не доставляли настоящего отдыха .	[6]	100.00%	
Они вернулись к антагонизму советского периода , когда стали сворачиваться достижения перестройки внутри страны и были открыто заявлены претензии на сферы влияния на территории распавшейся империи и на возрождение роли сверхдержавы в мировых делах .	[6]	100.00%	
Увидишь ты не одну когорту в Ершалаиме , нет !	[5]	100.00%	
Больные и раненые из-за отсутствия коек лежали на полу .	[2]	100.00%	
Хотя в паспорте и записано , что выработка энергии начинается при ветре 3 метра в секунду , реально это происходит только с 5 м/с .	[5]	100.00%	
Президент Молдавии Владимир Воронин , комментируя вопрос о предоставлении Приднестровью самой широкой автономии в составе Молдавии , заявил , что проект такого статуса уже разработан и будет обнародован , когда в этом будет необходимость .	[7]	100.00%	
Заведения эти в Великобритании связаны с ней самым непосредственным образом , в каждой из них непременно висят фотографии королевы и ее посещений этого учреждения .	[4]	100.00%	
Управляя потоком нейтронов , можно балансировать между взрывом и остановкой реактора - с этой целью в реактор добавляют замедлитель , отражатель и контрольные стержни .	[7]	100.00%	
Держа в руках нож , острие которого было направлено в нежную тушу Крэка , он застыл метрах в семи .	[5]	100.00%	
И , кроме всего прочего , тут подогреваются финансовые аппетиты всех , кого только можно , - и военного руководства НАТО и России , и оборонно - промышленного комплекса .	[6]	100.00%	
Религия требует веры в чудеса и другие сверхъестественные явления .	[3]	100.00%	
Тут он не выдержал , развернулся и побежал вверх .	[2]	100.00%	
Мир прямо сейчас делится на тех , кто успевает войти в поток ускоренных изменений , и на вечных лузеров .	[1]	100.00%	
